
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
MpDefenderCoreService.exe     3084 Services                   0     28,296 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   3152 Services                   0     12,780 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   3164 Services                   0      7,916 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
VGAuthService.exe             3172 Services                   0     14,464 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
vmtoolsd.exe                  3180 Services                   0     28,540 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
vm3dservice.exe               3192 Services                   0      9,244 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
MsMpEng.exe                   3216 Services                   0     18,340 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   3224 Services                   0     23,176 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   3264 Services                   0     27,624 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
vm3dservice.exe               3632 Console                    1     10,056 K Running         NT AUTHORITY\SYSTEM                                     0:00:00 VM3DService Hidden window                                               
dllhost.exe                   4052 Services                   0     19,152 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
WmiPrvSE.exe                  3412 Services                   0     24,200 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:01 N/A                                                                     
msdtc.exe                     4240 Services                   0     14,680 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                     
svchost.exe                   4332 Services                   0     19,808 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   4340 Services                   0     48,776 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
sihost.exe                    4476 Console                    1     50,764 K Running         WMYC\shado                                              0:00:01 N/A                                                                     
svchost.exe                   4508 Console                    1     38,060 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
svchost.exe                   4528 Services                   0     10,448 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
svchost.exe                   4604 Console                    1     11,600 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
svchost.exe                   4772 Console                    1     42,116 K Running         WMYC\shado                                              0:00:00 Windows Push Notifications Platform                                     
svchost.exe                   4804 Services                   0     27,812 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
taskhostw.exe                 4860 Console                    1     19,044 K Running         WMYC\shado                                              0:00:00 Task Host Window                                                        
MicrosoftEdgeUpdate.exe       4868 Services                   0      2,592 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
AggregatorHost.exe            5100 Services                   0     11,964 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
explorer.exe                  1268 Console                    1    430,252 K Running         WMYC\shado                                              0:00:53 N/A                                                                     
ShellHost.exe                 3296 Console                    1     42,012 K Running         WMYC\shado                                              0:00:00 Quick Settings                                                          
svchost.exe                   2908 Services                   0     11,592 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
svchost.exe                   4936 Services                   0     24,780 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
svchost.exe                   5248 Services                   0     11,476 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   5516 Services                   0     13,332 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   5564 Services                   0     14,000 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
svchost.exe                   5616 Services                   0     13,800 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   5732 Services                   0     10,652 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
CrossDeviceResume.exe         5796 Console                    1     51,468 K Running         WMYC\shado                                              0:00:00 CrossDeviceResumeWindow                                                 
svchost.exe                   6008 Services                   0     32,164 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   5664 Services                   0     27,752 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
svchost.exe                   5192 Services                   0     25,368 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   5408 Services                   0      9,116 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   6156 Services                   0     13,672 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   6392 Console                    1     24,448 K Running         WMYC\shado                                              0:00:00 N/A                                                                     
StartMenuExperienceHost.e     6660 Console                    1    158,640 K Running         WMYC\shado                                              0:00:02 Baülat                                                                  
SearchHost.exe                6676 Console                    1    137,048 K Running         WMYC\shado                                              0:00:01 Search                                                                  
RuntimeBroker.exe             6900 Console                    1     58,560 K Running         WMYC\shado                                              0:00:00 N/A                                                                     
svchost.exe                   6952 Console                    1     30,252 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
Widgets.exe                   7160 Console                    1     57,512 K Running         WMYC\shado                                              0:00:00 OLEChannelWnd                                                           
WidgetService.exe             4312 Console                    1     25,632 K Running         WMYC\shado                                              0:00:00 N/A                                                                     
UserOOBEBroker.exe            7184 Console                    1     11,592 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
msedgewebview2.exe            7236 Console                    1    129,640 K Running         WMYC\shado                                              0:00:01 N/A                                                                     
msedgewebview2.exe            7312 Console                    1      9,636 K Running         WMYC\shado                                              0:00:00 N/A                                                                     
msedgewebview2.exe            7856 Console                    1     43,740 K Running         WMYC\shado                                              0:00:00 N/A                                                                     
msedgewebview2.exe            7864 Console                    1     41,968 K Running         WMYC\shado                                              0:00:00 OleMainThreadWndName                                                    
msedgewebview2.exe            7936 Console                    1     21,508 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
msedgewebview2.exe            8088 Console                    1    114,032 K Unknown         WMYC\shado                                              0:00:01 N/A                                                                     
backgroundTaskHost.exe        8132 Console                    1     33,712 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
ctfmon.exe                    5184 Console                    1     37,840 K Running         WMYC\shado                                              0:00:01 N/A                                                                     
LockApp.exe                   8400 Console                    1     81,120 K Running         WMYC\shado                                              0:00:00 Windows Varsayçlan Kilit Ekranç                                         
